Rua,Presença,Luminosidade,Ruído,Denúncias_Recentes,Classificação
Rua 1,5,98.27041559822233,49.42431705779356,3,Segura
Rua 2,4,29.269471835021264,52.62932706334047,0,Segura
Rua 3,6,14.368085855922796,0.0,3,Muito Perigosa
Rua 4,5,9.568256184294988,34.15093236537861,2,Segura
Rua 5,2,36.06026561912869,0.0,10,Muito Perigosa
Rua 6,5,89.99315116802381,52.297185138436156,0,Segura
Rua 7,7,79.27079249811155,28.787472713064325,8,Perigosa
Rua 8,4,53.548667346007825,33.18271997889548,7,Perigosa
Rua 9,6,0.08469878148513743,41.816851137122086,9,Muito Perigosa
Rua 10,2,30.279053605891516,0.0,10,Muito Perigosa
Rua 11,6,65.0828275748349,35.735391562026855,8,Perigosa
Rua 12,4,79.97370082381637,34.78483280962674,5,Segura
Rua 13,5,34.19517584714313,34.472746323437335,5,Segura
Rua 14,5,57.73239748829179,41.26556521746329,3,Segura
Rua 15,2,60.761029425406136,0.0,0,Segura
Rua 16,3,49.14762779044432,0.0,3,Segura
Rua 17,4,64.37307994601127,12.324427282292032,7,Perigosa
Rua 18,7,19.556520090763772,38.87252752488649,5,Segura
Rua 19,7,19.73614765928359,29.864306751168556,1,Segura
Rua 20,3,76.71205312650278,0.0,9,Muito Perigosa
Rua 21,2,58.705119419932295,0.0,0,Segura
Rua 22,4,73.12074690775289,36.678095445015934,6,Perigosa
Rua 23,5,78.04018714492298,55.8778082775809,9,Muito Perigosa
Rua 24,6,72.89230648799416,40.208232200830025,10,Muito Perigosa
Rua 25,5,52.35461623181643,0.0,10,Muito Perigosa
Rua 26,6,16.65592130323702,36.83016053517042,7,Perigosa
Rua 27,7,94.08052747376806,29.716284997500026,2,Segura
Rua 28,0,16.243719657535273,0.0,4,Muito Perigosa
Rua 29,6,63.4513733791135,7.93202114537398,7,Perigosa
Rua 30,3,78.78607548317686,0.0,4,Segura
Rua 31,6,88.3527553234289,61.19756749240712,1,Segura
Rua 32,2,11.806213839300295,0.0,5,Segura
Rua 33,7,61.60413607817385,36.443767312779016,8,Perigosa
Rua 34,3,91.87809223381474,0.0,6,Perigosa
Rua 35,6,98.76405032922779,56.22280042872934,6,Perigosa
Rua 36,5,75.32962237733402,28.353045442335834,9,Muito Perigosa
Rua 37,6,87.9623487074779,45.292751436350414,5,Segura
Rua 38,3,53.51605462659739,0.0,4,Segura
Rua 39,4,35.96450536737223,43.01793473589032,0,Segura
Rua 40,5,47.79746914633167,37.866741320519296,4,Segura
Rua 41,6,96.70850281768216,51.08608017429881,7,Perigosa
Rua 42,3,25.033887066312467,0.0,9,Muito Perigosa
Rua 43,7,13.972378232492598,29.96289430217688,9,Muito Perigosa
Rua 44,0,76.24818769786005,0.0,8,Muito Perigosa
Rua 45,6,5.837580269363407,0.0,0,Muito Perigosa
Rua 46,3,85.24329922534206,0.0,2,Segura
Rua 47,2,61.61664994598986,0.0,6,Perigosa
Rua 48,3,50.77512198458359,0.0,7,Perigosa
Rua 49,5,89.67113446354743,25.079261472924003,8,Perigosa
Rua 50,4,74.81214000240901,9.49180997479042,0,Segura
Rua 51,7,12.848152486401442,26.48929178821875,7,Perigosa
Rua 52,3,80.09555241499426,0.0,7,Perigosa
Rua 53,2,68.52293854477404,0.0,2,Segura
Rua 54,4,55.153933911260154,21.59816558251086,7,Perigosa
Rua 55,5,39.387250222234385,26.741088078719606,6,Perigosa
Rua 56,2,79.73178626619207,0.0,0,Segura
Rua 57,3,87.73212355178651,0.0,6,Perigosa
Rua 58,6,88.8407859040396,0.0,10,Muito Perigosa
Rua 59,3,45.10043299369387,0.0,9,Muito Perigosa
Rua 60,5,20.461996344339838,46.22362354504334,5,Segura
Rua 61,5,60.520507601064345,0.0,2,Segura
Rua 62,4,94.55770788795692,34.25568128206103,8,Perigosa
Rua 63,3,54.59350606378973,0.0,0,Segura
Rua 64,2,56.364184331421676,0.0,1,Segura
Rua 65,8,70.01197646956543,2.286452569222508,3,Segura
Rua 66,6,33.193366124952504,34.76298352244458,10,Muito Perigosa
Rua 67,4,10.945497081948897,42.402772549986466,0,Segura
Rua 68,5,12.300285501392239,51.23690006977667,5,Segura
Rua 69,7,95.3617202542309,49.222427360911496,0,Segura
Rua 70,2,70.86503528562938,0.0,6,Perigosa
Rua 71,2,62.10985237840851,0.0,6,Perigosa
Rua 72,5,76.977454372526,0.0,0,Segura
Rua 73,4,46.57639134408031,35.68257073517617,9,Muito Perigosa
Rua 74,2,2.814481201313357,0.0,10,Muito Perigosa
Rua 75,8,10.742104386821739,6.635690418015798,6,Perigosa
Rua 76,5,49.86910121761361,15.497985792415891,5,Segura
Rua 77,6,27.388655394310202,26.250569788077883,5,Segura
Rua 78,5,67.25341689490637,0.0,6,Perigosa
Rua 79,2,38.481591848464326,0.0,3,Segura
Rua 80,5,80.0268157379228,58.89394802539078,3,Segura
